Funfam	UniProt	Segments	Length
3.20.20.70-FF-000042.faa	A0A0D5NBZ6	1-239	239
3.20.20.70-FF-000042.faa	Q3V8C9	1-239	239
3.20.20.70-FF-000042.faa	Q7NPF2	1-239	239
3.20.20.70-FF-000042.faa	P72776	1-239	239
3.20.20.70-FF-000042.faa	Q83BL1	1-240	240
3.20.20.70-FF-000042.faa	A9N936	1-240	240
3.20.20.70-FF-000042.faa	A9KFA7	1-240	240
3.20.20.70-FF-000042.faa	B7UYW9	1-248	248
3.20.20.70-FF-000042.faa	A0A431X6E2	1-248	248
3.20.20.70-FF-000042.faa	A0A086BWB6	1-248	248
3.20.20.70-FF-000042.faa	A6VAK3	1-248	248
3.20.20.70-FF-000042.faa	W1MPB2	1-248	248
3.20.20.70-FF-000042.faa	A0A448BR38	1-248	248
3.20.20.70-FF-000042.faa	A0A1C7BDZ1	1-248	248
3.20.20.70-FF-000042.faa	A0A1F0IMX8	1-248	248
3.20.20.70-FF-000042.faa	V6AK90	1-248	248
3.20.20.70-FF-000042.faa	A0A2V2TCQ3	1-248	248
3.20.20.70-FF-000042.faa	A0A1G5LYB8	1-248	248
3.20.20.70-FF-000042.faa	A0A071KVL6	1-248	248
3.20.20.70-FF-000042.faa	A0A157V6I3	1-248	248
3.20.20.70-FF-000042.faa	Q9I5G5	1-248	248
3.20.20.70-FF-000042.faa	Q02HS5	1-248	248
3.20.20.70-FF-000042.faa	Q8EH78	1-244	244
3.20.20.70-FF-000042.faa	C9P1L0	1-243	243
3.20.20.70-FF-000042.faa	A0A380NA52	1-243	243
3.20.20.70-FF-000042.faa	C2HWC9	1-243	243
3.20.20.70-FF-000042.faa	A0A366A5T1	1-243	243
3.20.20.70-FF-000042.faa	A0A0H6LD36	1-243	243
3.20.20.70-FF-000042.faa	D7HEM5	1-243	243
3.20.20.70-FF-000042.faa	C3LR01	1-243	243
3.20.20.70-FF-000042.faa	A0A0X1KZI6	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3Q0P1	1-243	243
3.20.20.70-FF-000042.faa	A0A0K9UTN7	1-243	243
3.20.20.70-FF-000042.faa	Q9KPB5	1-243	243
3.20.20.70-FF-000042.faa	A0A0Q2MA25	1-243	243
3.20.20.70-FF-000042.faa	F0LT69	1-243	243
3.20.20.70-FF-000042.faa	A0A0H2YHB8	1-243	243
3.20.20.70-FF-000042.faa	A0A0E1NRU6	1-243	243
3.20.20.70-FF-000042.faa	A0A0T9J255	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3B2V0	1-243	243
3.20.20.70-FF-000042.faa	A0A0M1V4V3	1-243	243
3.20.20.70-FF-000042.faa	A0A0E8XG92	1-243	243
3.20.20.70-FF-000042.faa	A0A3N4B2E5	1-243	243
3.20.20.70-FF-000042.faa	Q8ZCP4	1-243	243
3.20.20.70-FF-000042.faa	A0A0U1EU86	1-243	243
3.20.20.70-FF-000042.faa	Q3V7P0	1-243	243
3.20.20.70-FF-000042.faa	A0A3S4GST9	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3NTE8	1-243	243
3.20.20.70-FF-000042.faa	A0A2R9T2Z5	1-243	243
3.20.20.70-FF-000042.faa	F4MXS2	1-243	243
3.20.20.70-FF-000042.faa	A0A481QGQ2	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3FJY6	1-243	243
3.20.20.70-FF-000042.faa	A0A157UQ83	1-243	243
3.20.20.70-FF-000042.faa	A0A0F0U4D4	1-243	243
3.20.20.70-FF-000042.faa	V5AP99	1-243	243
3.20.20.70-FF-000042.faa	A0A3T0QMY6	1-243	243
3.20.20.70-FF-000042.faa	A0A377RHY0	1-243	243
3.20.20.70-FF-000042.faa	A0A2S0VIW9	1-243	243
3.20.20.70-FF-000042.faa	A0A246AWM1	1-243	243
3.20.20.70-FF-000042.faa	A0A443X1U5	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3GTT4	1-243	243
3.20.20.70-FF-000042.faa	A0A3N0LPU7	1-243	243
3.20.20.70-FF-000042.faa	W8UGN8	1-243	243
3.20.20.70-FF-000042.faa	A0A1C1SB98	1-243	243
3.20.20.70-FF-000042.faa	A0A0E1CAC6	1-243	243
3.20.20.70-FF-000042.faa	A0A0M3E944	1-243	243
3.20.20.70-FF-000042.faa	A0A3Q8DTR4	1-243	243
3.20.20.70-FF-000042.faa	A0A381GAR5	1-243	243
3.20.20.70-FF-000042.faa	A0A428LI84	1-243	243
3.20.20.70-FF-000042.faa	A0A3V9UDR7	1-243	243
3.20.20.70-FF-000042.faa	M7RGE1	1-243	243
3.20.20.70-FF-000042.faa	A0A3V4RK12	1-243	243
3.20.20.70-FF-000042.faa	A0A0L5XFB2	1-243	243
3.20.20.70-FF-000042.faa	A0A2T8REX2	1-243	243
3.20.20.70-FF-000042.faa	A0A482EEZ7	1-243	243
3.20.20.70-FF-000042.faa	A0A3T0AIH7	1-243	243
3.20.20.70-FF-000042.faa	A0A3W0FBN8	1-243	243
3.20.20.70-FF-000042.faa	A0A3Z6NZM8	1-243	243
3.20.20.70-FF-000042.faa	A0A265B9D3	1-243	243
3.20.20.70-FF-000042.faa	A0A3W0LWQ7	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3NEE2	1-243	243
3.20.20.70-FF-000042.faa	A0A486X8D1	1-243	243
3.20.20.70-FF-000042.faa	A0A3V8D503	1-243	243
3.20.20.70-FF-000042.faa	A0A0F6B4Z8	1-243	243
3.20.20.70-FF-000042.faa	A0A0R9PBL3	1-243	243
3.20.20.70-FF-000042.faa	A0A3A3JMQ5	1-243	243
3.20.20.70-FF-000042.faa	A0A3S4GV43	1-243	243
3.20.20.70-FF-000042.faa	A0A3T2ZRV3	1-243	243
3.20.20.70-FF-000042.faa	A0A2T9EII9	1-243	243
3.20.20.70-FF-000042.faa	A0A315GR41	1-243	243
3.20.20.70-FF-000042.faa	A0A3T2WFL8	1-243	243
3.20.20.70-FF-000042.faa	A0A2T8X447	1-243	243
3.20.20.70-FF-000042.faa	A0A3V8MPX6	1-243	243
3.20.20.70-FF-000042.faa	A0A402MWV2	1-243	243
3.20.20.70-FF-000042.faa	A0A3T3IJI7	1-243	243
3.20.20.70-FF-000042.faa	A0A3V4TH15	1-243	243
3.20.20.70-FF-000042.faa	A0A3V9NHQ2	1-243	243
3.20.20.70-FF-000042.faa	V1GS91	1-243	243
3.20.20.70-FF-000042.faa	G4C3M3	1-243	243
3.20.20.70-FF-000042.faa	A0A3V4QMI2	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3BW87	1-243	243
3.20.20.70-FF-000042.faa	E8XHF6	1-243	243
3.20.20.70-FF-000042.faa	A0A1X2RJS8	1-243	243
3.20.20.70-FF-000042.faa	A0A0D6FA05	1-243	243
3.20.20.70-FF-000042.faa	B5RD46	1-243	243
3.20.20.70-FF-000042.faa	A0A3Q9M2K6	1-243	243
3.20.20.70-FF-000042.faa	A0A0N1QXF5	1-243	243
